date,fuel_type,price_krw,diff,area
2026-05-07,휘발유,2429.79,+2.48,전국
2026-05-07,휘발유,2011.75,+0.33,전국
2026-05-07,휘발유,2005.97,+0.23,전국
2026-05-07,휘발유,1622.52,+1.57,전국
2026-05-07,휘발유,1089.30,+0.17,전국
2026-05-07,경유,2429.79,+2.48,전국
2026-05-07,경유,2011.75,+0.33,전국
2026-05-07,경유,2005.97,+0.23,전국
2026-05-07,경유,1622.52,+1.57,전국
2026-05-07,경유,1089.30,+0.17,전국
2026-05-07,등유,2429.79,+2.48,전국
2026-05-07,등유,2011.75,+0.33,전국
2026-05-07,등유,2005.97,+0.23,전국
2026-05-07,등유,1622.52,+1.57,전국
2026-05-07,등유,1089.30,+0.17,전국
2026-05-07,LPG,2429.79,+2.48,전국
2026-05-07,LPG,2011.75,+0.33,전국
2026-05-07,LPG,2005.97,+0.23,전국
2026-05-07,LPG,1622.52,+1.57,전국
2026-05-07,LPG,1089.30,+0.17,전국
